[1 ]  #SUP: 0.1218460117374887
[1 5 ]  #SUP: 0.05090451812074648
[1 5 8 ]  #SUP: 0.0398238925013057
[1 5 8 12 ]  #SUP: 0.0398238925013057
[1 5 8 12 14 ]  #SUP: 0.029960273347947177
[1 5 8 12 14 15 ]  #SUP: 0.029960273347947177
[1 5 8 12 14 15 16 ]  #SUP: 0.02991443306586938
[1 5 8 12 14 15 16 17 ]  #SUP: 0.01629163943932606
[1 5 8 12 14 15 17 ]  #SUP: 0.01629163943932606
[1 5 8 12 14 16 ]  #SUP: 0.02991443306586938
[1 5 8 12 14 16 17 ]  #SUP: 0.01629163943932606
[1 5 8 12 14 17 ]  #SUP: 0.01629163943932606
[1 5 8 12 15 ]  #SUP: 0.029960273347947177
[1 5 8 12 15 16 ]  #SUP: 0.02991443306586938
[1 5 8 12 15 16 17 ]  #SUP: 0.01629163943932606
[1 5 8 12 15 17 ]  #SUP: 0.01629163943932606
[1 5 8 12 16 ]  #SUP: 0.03443622343504873
[1 5 8 12 16 17 ]  #SUP: 0.02164528198657242
[1 5 8 12 16 17 18 ]  #SUP: 0.005556391070326364
[1 5 8 12 16 17 21 ]  #SUP: 0.005418473678619827
[1 5 8 12 16 18 ]  #SUP: 0.005556391070326364
[1 5 8 12 16 18 21 ]  #SUP: 0.005418473678619827
[1 5 8 12 16 21 ]  #SUP: 0.005418473678619827
[1 5 8 12 17 ]  #SUP: 0.02164528198657242
[1 5 8 12 17 18 ]  #SUP: 0.005556391070326364
[1 5 8 12 17 18 21 ]  #SUP: 0.005418473678619827
[1 5 8 12 17 21 ]  #SUP: 0.005418473678619827
[1 5 8 12 18 ]  #SUP: 0.005556391070326364
[1 5 8 12 18 21 ]  #SUP: 0.005418473678619827
[1 5 8 12 21 ]  #SUP: 0.005418473678619827
[1 5 8 14 ]  #SUP: 0.029960273347947177
[1 5 8 14 15 ]  #SUP: 0.029960273347947177
[1 5 8 14 15 16 ]  #SUP: 0.02991443306586938
[1 5 8 14 15 16 17 ]  #SUP: 0.01629163943932606
[1 5 8 14 15 17 ]  #SUP: 0.01629163943932606
[1 5 8 14 16 ]  #SUP: 0.02991443306586938
[1 5 8 14 16 17 ]  #SUP: 0.01629163943932606
[1 5 8 14 17 ]  #SUP: 0.01629163943932606
[1 5 8 15 ]  #SUP: 0.029960273347947177
[1 5 8 15 16 ]  #SUP: 0.02991443306586938
[1 5 8 15 16 17 ]  #SUP: 0.01629163943932606
[1 5 8 15 17 ]  #SUP: 0.01629163943932606
[1 5 8 16 ]  #SUP: 0.03443622343504873
[1 5 8 16 17 ]  #SUP: 0.02164528198657242
[1 5 8 16 17 18 ]  #SUP: 0.005556391070326364
[1 5 8 16 17 18 21 ]  #SUP: 0.005418473678619827
[1 5 8 16 17 21 ]  #SUP: 0.005418473678619827
[1 5 8 16 18 ]  #SUP: 0.005556391070326364
[1 5 8 16 18 21 ]  #SUP: 0.005418473678619827
[1 5 8 16 21 ]  #SUP: 0.005418473678619827
[1 5 8 17 ]  #SUP: 0.02164528198657242
[1 5 8 17 18 ]  #SUP: 0.005556391070326364
[1 5 8 17 18 21 ]  #SUP: 0.005418473678619827
[1 5 8 17 21 ]  #SUP: 0.005418473678619827
[1 5 8 10 ]  #SUP: 0.02090566843405149
[1 5 8 10 12 ]  #SUP: 0.02090566843405149
[1 5 8 10 12 14 ]  #SUP: 0.016411413053804263
[1 5 8 10 12 14 15 ]  #SUP: 0.016411413053804263
[1 5 8 10 12 14 15 16 ]  #SUP: 0.016411413053804263
[1 5 8 10 12 14 15 17 ]  #SUP: 0.006492846125716028
[1 5 8 10 12 14 16 ]  #SUP: 0.016411413053804263
[1 5 8 10 12 14 16 17 ]  #SUP: 0.006492846125716028
[1 5 8 10 12 14 17 ]  #SUP: 0.006492846125716028
[1 5 8 10 12 15 ]  #SUP: 0.016411413053804263
[1 5 8 10 12 15 16 ]  #SUP: 0.016411413053804263
[1 5 8 10 12 15 16 17 ]  #SUP: 0.006492846125716028
[1 5 8 10 12 15 17 ]  #SUP: 0.006492846125716028
[1 5 8 10 12 16 ]  #SUP: 0.016411413053804263
[1 5 8 10 12 16 17 ]  #SUP: 0.006492846125716028
[1 5 8 10 12 17 ]  #SUP: 0.006492846125716028
[1 5 8 10 14 ]  #SUP: 0.016411413053804263
[1 5 8 10 14 15 ]  #SUP: 0.016411413053804263
[1 5 8 10 14 15 16 ]  #SUP: 0.016411413053804263
[1 5 8 10 14 15 16 17 ]  #SUP: 0.006492846125716028
[1 5 8 10 14 15 17 ]  #SUP: 0.006492846125716028
[1 5 8 10 14 16 ]  #SUP: 0.016411413053804263
[1 5 8 10 14 16 17 ]  #SUP: 0.006492846125716028
[1 5 8 10 14 17 ]  #SUP: 0.006492846125716028
[1 5 8 10 15 ]  #SUP: 0.016411413053804263
[1 5 8 10 15 16 ]  #SUP: 0.016411413053804263
[1 5 8 10 15 16 17 ]  #SUP: 0.006492846125716028
[1 5 8 10 15 17 ]  #SUP: 0.006492846125716028
[1 5 8 10 16 ]  #SUP: 0.016411413053804263
[1 5 8 10 16 17 ]  #SUP: 0.006492846125716028
[1 5 8 10 17 ]  #SUP: 0.006492846125716028
[1 5 8 10 11 ]  #SUP: 0.004507083287138298
[1 5 8 10 11 12 ]  #SUP: 0.004507083287138298
[1 5 8 9 ]  #SUP: 0.01105759735510296
[1 5 8 9 10 ]  #SUP: 0.01105759735510296
[1 5 8 9 10 12 ]  #SUP: 0.01105759735510296
[1 5 8 9 10 12 14 ]  #SUP: 0.007414161830881816
[1 5 8 9 10 12 14 15 ]  #SUP: 0.007414161830881816
[1 5 8 9 10 12 14 15 16 ]  #SUP: 0.007414161830881816
[1 5 8 9 10 12 14 16 ]  #SUP: 0.007414161830881816
[1 5 8 9 10 12 15 ]  #SUP: 0.0074223112040475445
[1 5 8 9 10 12 15 16 ]  #SUP: 0.0074223112040475445
[1 5 8 9 10 12 16 ]  #SUP: 0.007432871716422875
[1 5 8 9 10 11 ]  #SUP: 0.004507083287138298
[1 5 8 9 10 14 ]  #SUP: 0.007414161830881816
[1 5 8 9 10 14 15 ]  #SUP: 0.007414161830881816
[1 5 8 9 10 14 15 16 ]  #SUP: 0.007414161830881816
[1 5 8 9 10 14 16 ]  #SUP: 0.007414161830881816
[1 5 8 9 10 15 ]  #SUP: 0.0074223112040475445
[1 5 8 9 10 15 16 ]  #SUP: 0.0074223112040475445
[1 5 8 9 10 16 ]  #SUP: 0.007432871716422875
[1 5 8 9 12 ]  #SUP: 0.01105759735510296
[1 5 8 9 12 14 ]  #SUP: 0.007414161830881816
[1 5 8 9 12 14 15 ]  #SUP: 0.007414161830881816
[1 5 8 9 12 14 15 16 ]  #SUP: 0.007414161830881816
[1 5 8 9 12 14 16 ]  #SUP: 0.007414161830881816
[1 5 8 9 12 15 ]  #SUP: 0.0074223112040475445
[1 5 8 9 12 15 16 ]  #SUP: 0.0074223112040475445
[1 5 8 9 12 16 ]  #SUP: 0.007432871716422875
[1 5 8 9 14 ]  #SUP: 0.007414161830881816
[1 5 8 9 14 15 ]  #SUP: 0.007414161830881816
[1 5 8 9 14 15 16 ]  #SUP: 0.007414161830881816
[1 5 8 9 14 16 ]  #SUP: 0.007414161830881816
[1 5 8 9 15 ]  #SUP: 0.0074223112040475445
[1 5 8 9 15 16 ]  #SUP: 0.0074223112040475445
[1 5 8 9 16 ]  #SUP: 0.007432871716422875
[1 5 8 9 11 ]  #SUP: 0.004507083287138298
[1 5 8 9 11 12 ]  #SUP: 0.004507083287138298
[1 5 8 18 ]  #SUP: 0.005556391070326364
[1 5 8 18 21 ]  #SUP: 0.005418473678619827
[1 5 8 21 ]  #SUP: 0.005418473678619827
[1 5 8 11 ]  #SUP: 0.004507083287138298
[1 5 8 11 12 ]  #SUP: 0.004507083287138298
[1 5 12 ]  #SUP: 0.05090451812074648
[1 5 12 14 ]  #SUP: 0.04104089896738795
[1 5 12 14 15 ]  #SUP: 0.04104089896738795
[1 5 12 14 15 16 ]  #SUP: 0.040995058685310164
[1 5 12 14 15 16 17 ]  #SUP: 0.027372265058766825
[1 5 12 14 15 16 17 18 ]  #SUP: 0.00654856938816663
[1 5 12 14 15 16 18 ]  #SUP: 0.00654856938816663
[1 5 12 14 15 17 ]  #SUP: 0.027372265058766825
[1 5 12 14 15 17 18 ]  #SUP: 0.00654856938816663
[1 5 12 14 15 18 ]  #SUP: 0.00654856938816663
[1 5 12 14 16 ]  #SUP: 0.040995058685310164
[1 5 12 14 16 17 ]  #SUP: 0.027372265058766825
[1 5 12 14 16 17 18 ]  #SUP: 0.00654856938816663
[1 5 12 14 16 18 ]  #SUP: 0.00654856938816663
[1 5 12 14 17 ]  #SUP: 0.027372265058766825
[1 5 12 14 17 18 ]  #SUP: 0.00654856938816663
[1 5 12 14 18 ]  #SUP: 0.00654856938816663
[1 5 12 15 ]  #SUP: 0.04104089896738795
[1 5 12 15 16 ]  #SUP: 0.040995058685310164
[1 5 12 15 16 17 ]  #SUP: 0.027372265058766825
[1 5 12 15 16 17 18 ]  #SUP: 0.007384167600344017
[1 5 12 15 16 18 ]  #SUP: 0.007384167600344017
[1 5 12 15 17 ]  #SUP: 0.027372265058766825
[1 5 12 15 17 18 ]  #SUP: 0.007384167600344017
[1 5 12 15 18 ]  #SUP: 0.007384167600344017
[1 5 12 16 ]  #SUP: 0.045516849054489515
[1 5 12 16 17 ]  #SUP: 0.03272590760601319
[1 5 12 16 17 18 ]  #SUP: 0.011020721096187621
[1 5 12 16 17 18 21 ]  #SUP: 0.005418473678619827
[1 5 12 16 17 21 ]  #SUP: 0.005418473678619827
[1 5 12 16 18 ]  #SUP: 0.011020721096187621
[1 5 12 16 18 21 ]  #SUP: 0.005418473678619827
[1 5 12 16 21 ]  #SUP: 0.005418473678619827
[1 5 12 17 ]  #SUP: 0.03272590760601319
[1 5 12 17 18 ]  #SUP: 0.011020721096187621
[1 5 12 17 18 21 ]  #SUP: 0.005418473678619827
[1 5 12 17 21 ]  #SUP: 0.005418473678619827
[1 5 12 18 ]  #SUP: 0.011020721096187621
[1 5 12 18 21 ]  #SUP: 0.005418473678619827
[1 5 12 21 ]  #SUP: 0.005418473678619827
[1 5 16 ]  #SUP: 0.045516849054489515
[1 5 16 17 ]  #SUP: 0.03272590760601319
[1 5 16 17 18 ]  #SUP: 0.011020721096187621
[1 5 16 17 18 21 ]  #SUP: 0.005418473678619827
[1 5 16 17 21 ]  #SUP: 0.005418473678619827
[1 5 16 18 ]  #SUP: 0.011020721096187621
[1 5 16 18 21 ]  #SUP: 0.005418473678619827
[1 5 16 21 ]  #SUP: 0.005418473678619827
[1 5 17 ]  #SUP: 0.03272590760601319
[1 5 17 18 ]  #SUP: 0.011020721096187621
[1 5 17 18 21 ]  #SUP: 0.005418473678619827
[1 5 17 21 ]  #SUP: 0.005418473678619827
[1 5 14 ]  #SUP: 0.04104089896738795
[1 5 14 15 ]  #SUP: 0.04104089896738795
[1 5 14 15 16 ]  #SUP: 0.040995058685310164
[1 5 14 15 16 17 ]  #SUP: 0.027372265058766825
[1 5 14 15 16 17 18 ]  #SUP: 0.00654856938816663
[1 5 14 15 16 18 ]  #SUP: 0.00654856938816663
[1 5 14 15 17 ]  #SUP: 0.027372265058766825
[1 5 14 15 17 18 ]  #SUP: 0.00654856938816663
[1 5 14 15 18 ]  #SUP: 0.00654856938816663
[1 5 14 16 ]  #SUP: 0.040995058685310164
[1 5 14 16 17 ]  #SUP: 0.027372265058766825
[1 5 14 16 17 18 ]  #SUP: 0.00654856938816663
[1 5 14 16 18 ]  #SUP: 0.00654856938816663
[1 5 14 17 ]  #SUP: 0.027372265058766825
[1 5 14 17 18 ]  #SUP: 0.00654856938816663
[1 5 14 18 ]  #SUP: 0.00654856938816663
[1 5 15 ]  #SUP: 0.04104089896738795
[1 5 15 16 ]  #SUP: 0.040995058685310164
[1 5 15 16 17 ]  #SUP: 0.027372265058766825
[1 5 15 16 17 18 ]  #SUP: 0.007384167600344017
[1 5 15 16 18 ]  #SUP: 0.007384167600344017
[1 5 15 17 ]  #SUP: 0.027372265058766825
[1 5 15 17 18 ]  #SUP: 0.007384167600344017
[1 5 15 18 ]  #SUP: 0.007384167600344017
[1 5 10 ]  #SUP: 0.031986294053492265
[1 5 10 12 ]  #SUP: 0.031986294053492265
[1 5 10 12 14 ]  #SUP: 0.027492038673245033
[1 5 10 12 14 15 ]  #SUP: 0.027492038673245033
[1 5 10 12 14 15 16 ]  #SUP: 0.027492038673245033
[1 5 10 12 14 15 16 17 ]  #SUP: 0.017476755250613235
[1 5 10 12 14 15 16 18 ]  #SUP: 0.00654856938816663
[1 5 10 12 14 15 17 ]  #SUP: 0.017476755250613235
[1 5 10 12 14 15 17 18 ]  #SUP: 0.00654856938816663
[1 5 10 12 14 15 18 ]  #SUP: 0.00654856938816663
[1 5 10 12 14 16 ]  #SUP: 0.027492038673245033
[1 5 10 12 14 16 17 ]  #SUP: 0.017476755250613235
[1 5 10 12 14 16 17 18 ]  #SUP: 0.00654856938816663
[1 5 10 12 14 16 18 ]  #SUP: 0.00654856938816663
[1 5 10 12 14 17 ]  #SUP: 0.017476755250613235
[1 5 10 12 14 17 18 ]  #SUP: 0.00654856938816663
[1 5 10 12 14 18 ]  #SUP: 0.00654856938816663
[1 5 10 12 15 ]  #SUP: 0.027492038673245033
[1 5 10 12 15 16 ]  #SUP: 0.027492038673245033
[1 5 10 12 15 16 17 ]  #SUP: 0.017476755250613235
[1 5 10 12 15 16 17 18 ]  #SUP: 0.007384167600344017
[1 5 10 12 15 16 18 ]  #SUP: 0.007384167600344017
[1 5 10 12 15 17 ]  #SUP: 0.017476755250613235
[1 5 10 12 15 17 18 ]  #SUP: 0.007384167600344017
